Datetime,Open,High,Low,Close,Volume
2024-02-13 14:54:00,183.89,183.9588,183.855,183.91,77062
2024-02-13 14:55:00,183.92,183.92,183.8,183.8046,101370
2024-02-13 14:56:00,183.8001,183.94,183.7925,183.93,92240
2024-02-13 14:57:00,183.93,183.97,183.86,183.865,63705
2024-02-13 14:58:00,183.865,183.9,183.85,183.869,48382
2024-02-13 14:59:00,183.86,183.88,183.801,183.8597,66863
2024-02-13 15:00:00,183.855,183.91,183.83,183.875,60162
2024-02-13 15:01:00,183.865,183.865,183.795,183.8,74433
2024-02-13 15:02:00,183.8097,183.835,183.6801,183.685,97617
2024-02-13 15:03:00,183.69,183.72,183.65,183.694,106403
2024-02-13 15:04:00,183.69,183.7,183.63,183.65,86567
2024-02-13 15:05:00,183.6424,183.73,183.63,183.7,84799
2024-02-13 15:06:00,183.7,183.76,183.69,183.705,77775
2024-02-13 15:07:00,183.7183,183.7497,183.68,183.745,97893
2024-02-13 15:08:00,183.745,183.78,183.69,183.72,77143
2024-02-13 15:09:00,183.71,183.71,183.63,183.6661,69145
2024-02-13 15:10:00,183.67,183.75,183.67,183.7201,62960
2024-02-13 15:11:00,183.72,183.78,183.7,183.74,65555
2024-02-13 15:12:00,183.74,183.77,183.72,183.73,50307
2024-02-13 15:13:00,183.7299,183.73,183.6801,183.685,63585
2024-02-13 15:14:00,183.685,183.695,183.57,183.59,91903
2024-02-13 15:15:00,183.595,183.642,183.57,183.584,81827
2024-02-13 15:16:00,183.585,183.745,183.58,183.69,102833
2024-02-13 15:17:00,183.685,183.71,183.66,183.6787,56279
2024-02-13 15:18:00,183.675,183.675,183.57,183.6099,66824
2024-02-13 15:19:00,183.61,183.655,183.6001,183.6291,62362
2024-02-13 15:20:00,183.625,183.66,183.625,183.6595,49478
2024-02-13 15:21:00,183.655,183.73,183.65,183.695,89149
2024-02-13 15:22:00,183.695,183.705,183.57,183.575,84556
2024-02-13 15:23:00,183.58,183.71,183.575,183.6406,93523
2024-02-13 15:24:00,183.645,183.66,183.585,183.6,58161
2024-02-13 15:25:00,183.61,183.64,183.57,183.59,53995
2024-02-13 15:26:00,183.6,183.6376,183.52,183.54,104176
2024-02-13 15:27:00,183.54,183.71,183.5128,183.705,79649
2024-02-13 15:28:00,183.705,183.75,183.67,183.7,87366
2024-02-13 15:29:00,183.7,183.78,183.6658,183.7299,111717
2024-02-13 15:30:00,183.725,183.85,183.69,183.82,152760
2024-02-13 15:31:00,183.825,183.94,183.82,183.905,147141
2024-02-13 15:32:00,183.905,183.91,183.83,183.842,72595
2024-02-13 15:33:00,183.845,184.02,183.8399,184.0,99459
2024-02-13 15:34:00,184.0,184.1501,183.985,184.145,117392
2024-02-13 15:35:00,184.14,184.18,184.1,184.145,86752
2024-02-13 15:36:00,184.145,184.2,184.13,184.195,125857
2024-02-13 15:37:00,184.19,184.3,184.1801,184.3,114514
